Principal City,Detection Value,Water System ID,Water System Name,Lab Sample No.,Collection Date,Sample Type,Analyte Code,Analyte Name,Sampling Point ID,Monitoring Period Begin Date,Monitoring Period End Date,WSF ID,Sampling Point Type
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-2 FB,2/16/2026,FB,2809,PERFLUOROHEXANOIC ACID (PFHXA),EP002       ,,,EP002,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-2 FB,2/16/2026,FB,2828,PERFLUOROPENTANESULFONIC ACID (PFPES) ,EP002       ,,,EP002,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-2 FB,2/16/2026,FB,2802,PERFLUOROHEPTANOIC ACID (PFHPA),EP002       ,,,EP002,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-3 FB,2/16/2026,FB,2808,PERFLUORODODECANOIC ACID (PFDOA),EP003       ,,,EP003,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-4 FB,2/16/2026,FB,2823,PERFLUORO PFMPA,EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-4 FB,2/16/2026,FB,2821,PERFLUOROHEXANE SULFONIC ACID 4:2 FTS,EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-4 FB,2/16/2026,FB,2820,PERFLUOROOCTANE SULFONIC ACID 6:2 FTS ,EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-4 FB,2/16/2026,FB,2807,PERFLUORODECANOIC ACID (PFDA),EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-4 FB,2/16/2026,FB,2804,PERFLUORONONANOIC ACID (PFNA),EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-4 FB,2/16/2026,FB,2803,PERFLUOROHEXANE SULFONIC ACID (PFHxS),EP004       ,,,EP004,EP
 ,<1.9172 NG/L     ,VA3095490,JCSA - CENTRAL SYSTEM,810-178204-A-9-A,1/14/2026,RT,2801,PERFLUOROBUTANE SULFONIC ACID (PFBS),EP045       ,,,TP045,EP
 ,<1.9486 NG/L     ,VA3095490,JCSA - CENTRAL SYSTEM,810-187286-A-7-A,4/8/2026,RT,2801,PERFLUOROBUTANE SULFONIC ACID (PFBS),EP039       ,,,EP039,EP
 ,<0.5 NG/L     ,VA3053210,AZZIE MANOR HOME FOR ADULTS,JE04761-01,5/21/2026,RT,2820,PERFLUOROOCTANE SULFONIC ACID 6:2 FTS ,EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA3053210,AZZIE MANOR HOME FOR ADULTS,JE04761-01,5/21/2026,RT,2812,PERFLUOROUNDECANOIC ACID (PFUNA),EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA3053210,AZZIE MANOR HOME FOR ADULTS,JE04761-01,5/21/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP
 ,<0.5 NG/L     ,VA3053210,AZZIE MANOR HOME FOR ADULTS,JE04761-01,5/21/2026,RT,2804,PERFLUORONONANOIC ACID (PFNA),EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA3053210,AZZIE MANOR HOME FOR ADULTS,JE04761-01,5/21/2026,RT,2803,PERFLUOROHEXANE SULFONIC ACID (PFHxS),EP001       ,,,EP001,EP
 ,<0.5 NG/L     ,VA3053375,DINWIDDIE SENIOR HIGH SCHOOL,JE04765-01,5/21/2026,RT,2829,PERFLUOROHEPTANESULFONIC ACID (PFHPS) ,EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA3053375,DINWIDDIE SENIOR HIGH SCHOOL,JE04765-01,5/21/2026,RT,2828,PERFLUOROPENTANESULFONIC ACID (PFPES) ,EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA3053375,DINWIDDIE SENIOR HIGH SCHOOL,JE04765-01,5/21/2026,RT,2825,PERFLUORO PFMBA ,EP001       ,,,EP001,EP
 ,0.4 NG/L     ,VA3053375,DINWIDDIE SENIOR HIGH SCHOOL,JE04765-01,5/21/2026,RT,2802,PERFLUOROHEPTANOIC ACID (PFHPA),EP001       ,,,EP001,EP
 ,<1.912 NG/L     ,VA3095490,JCSA - CENTRAL SYSTEM,810-187286-A-2-A,4/8/2026,RT,2801,PERFLUOROBUTANE SULFONIC ACID (PFBS),EP005       ,,,EP005,EP
 ,<1.8939 NG/L     ,VA3095490,JCSA - CENTRAL SYSTEM,810-187286-A-4-A,4/8/2026,RT,2804,PERFLUORONONANOIC ACID (PFNA),EP025       ,,,EP025,EP
 ,<2 NG/L     ,VA3183950,"WAVERLY, TOWN OF",78073201-PFAS,1/14/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP003       ,,,EP003,EP
 ,<2 NG/L     ,VA3183950,"WAVERLY, TOWN OF",78073301-PFAS,1/14/2026,RT,2803,PERFLUOROHEXANE SULFONIC ACID (PFHxS),EP001       ,,,EP001,EP
 ,<0.5 NG/L     ,VA3149850,SOUTH ELEMENTARY SCHOOL,JE01346-01,5/5/2026,RT,2828,PERFLUOROPENTANESULFONIC ACID (PFPES) ,EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA3149850,SOUTH ELEMENTARY SCHOOL,JE01346-01,5/5/2026,RT,2826,PERFLUORO PFEESA ,EP001       ,,,EP001,EP
 ,<0.5 NG/L     ,VA3149850,SOUTH ELEMENTARY SCHOOL,JE01346-01,5/5/2026,RT,2821,PERFLUOROHEXANE SULFONIC ACID 4:2 FTS,EP001       ,,,EP001,EP
 ,<0.8 NG/L     ,VA3149850,SOUTH ELEMENTARY SCHOOL,JE01346-01,5/5/2026,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP001       ,,,EP001,EP
 ,<0.5 NG/L     ,VA3149850,SOUTH ELEMENTARY SCHOOL,JE01346-01,5/5/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONY SPRINGS 3,4/24/2026,RT,2823,PERFLUORO PFMPA,EP003       ,,,EP003,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONY SPRINGS 4,4/24/2026,RT,2821,PERFLUOROHEXANE SULFONIC ACID 4:2 FTS,EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONY SPRINGS 4,4/24/2026,RT,2812,PERFLUOROUNDECANOIC ACID (PFUNA),EP004       ,,,EP004,EP
 ,1.4 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONY SPRINGS 4,4/24/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP004       ,,,EP004,EP
 ,1.63 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONY SPRINGS 4,4/24/2026,RT,2801,PERFLUOROBUTANE SULFONIC ACID (PFBS),EP004       ,,,EP004,EP
 ,<0.4 NG/L     ,VA3053305,DINWIDDIE COUNTY COURTHOUSE (NEW),JE04767-02,5/21/2026,FB,2826,PERFLUORO PFEESA ,EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA3053305,DINWIDDIE COUNTY COURTHOUSE (NEW),JE04767-02,5/21/2026,FB,2802,PERFLUOROHEPTANOIC ACID (PFHPA),EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA4115651,MILFORD HAVEN COAST GUARD STA,JE04741-01,5/21/2026,RT,2824,PERFLUOROPENTANOIC ACID (PFPEA) ,EP001       ,,,EP001,EP
 ,<0.7 NG/L     ,VA4115651,MILFORD HAVEN COAST GUARD STA,JE04741-01,5/21/2026,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP001       ,,,EP001,EP
 ,<0.5 NG/L     ,VA4115651,MILFORD HAVEN COAST GUARD STA,JE04741-01,5/21/2026,RT,2804,PERFLUORONONANOIC ACID (PFNA),EP001       ,,,EP001,EP
 ,<0.4 NG/L     ,VA4115651,MILFORD HAVEN COAST GUARD STA,JE04741-01,5/21/2026,RT,2801,PERFLUOROBUTANE SULFONIC ACID (PFBS),EP001       ,,,EP001,EP
 ,<1.9 NG/L     ,VA3093300,SMITHFIELD FRESH MEATS CORP. - NORTH,2601443-003_533,2/5/2026,RT,2828,PERFLUOROPENTANESULFONIC ACID (PFPES) ,EP001       ,,,EP001,EP
 ,<1.9 NG/L     ,VA3093300,SMITHFIELD FRESH MEATS CORP. - NORTH,2601443-003_533,2/5/2026,RT,2803,PERFLUOROHEXANE SULFONIC ACID (PFHxS),EP001       ,,,EP001,EP
 ,<1.9 NG/L     ,VA3093300,SMITHFIELD FRESH MEATS CORP. - NORTH,2601443-003_537,2/5/2026,RT,2809,PERFLUOROHEXANOIC ACID (PFHXA),EP001       ,,,EP001,EP
 ,<1.9 NG/L     ,VA3093300,SMITHFIELD FRESH MEATS CORP. - NORTH,2601443-003_537,2/5/2026,RT,2808,PERFLUORODODECANOIC ACID (PFDOA),EP001       ,,,EP001,EP
 ,<1.9 NG/L     ,VA3093300,SMITHFIELD FRESH MEATS CORP. - NORTH,2601443-003_537,2/5/2026,RT,2807,PERFLUORODECANOIC ACID (PFDA),EP001       ,,,EP001,EP
 ,<1.9 NG/L     ,VA3093300,SMITHFIELD FRESH MEATS CORP. - NORTH,2601443-003_537,2/5/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP
 ,<1.9 NG/L     ,VA3093600,SMITHFIELD FRESH MEATS CORP. - SOUTH,2601443-004_533,2/5/2026,RT,2807,PERFLUORODECANOIC ACID (PFDA),EP001       ,,,EP001,EP
